YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2022,"Liddell, E.J.",PF,77.50,243.0,28.4,0.122,83.75,103.5,8.25,9.3,35.5,38.0,11.11,3.23,3.26,NA,108.1%,76.3,139.0,141.5
2022,"Mathurin, Bennedict",SG,76.50,204.6,24.6,0.057,81.00,104.0,8.50,9.8,NA,NA,NA,NA,NA,NA,105.9%,82.9,NA,NA
2022,"Mayer, Matthew",SF,80.00,216.4,23.8,0.111,82.50,105.0,9.00,10.3,25.5,31.5,10.74,NA,3.39,NA,103.1%,92.3,130.5,136.5
2022,"McGowens, Bryce",SG,77.25,181.2,21.3,0.054,80.75,103.5,8.75,9.5,29.5,34.0,11.12,3.16,3.27,NA,104.5%,83.1,133.0,137.5
2022,"Mohammed, Aminu",SG-SF,75.50,212.8,26.2,0.051,83.00,104.0,8.75,9.5,29.5,36.0,11.54,3.04,3.33,NA,109.9%,83.1,133.5,140.0
2022,"Molinar, Iverson",PG,74.25,183.2,23.4,0.048,80.00,101.0,8.50,9.5,31.0,38.0,11.23,3.10,3.19,NA,107.7%,80.8,132.0,139.0
2022,"Montero, Jean",PG,73.00,171.8,22.7,0.074,77.25,98.5,8.00,8.8,29.5,37.0,11.19,3.17,3.17,NA,105.8%,70.0,128.0,135.5
2022,"Moore, Wendell",SG,76.25,217.2,26.3,0.075,84.50,101.0,8.75,10.3,32.5,38.5,10.94,3.21,3.30,NA,110.8%,89.7,133.5,139.5
2022,"Nembhard, Andrew",PG,75.00,195.6,24.4,0.044,77.75,99.0,8.00,9.5,26.5,35.0,10.46,3.02,3.26,NA,103.7%,76.0,125.5,134.0
2022,"Pippen Jr., Scotty",PG,72.00,180.0,24.4,0.053,77.75,95.5,7.75,9.0,30.5,37.5,11.07,3.10,3.21,NA,108.0%,69.8,126.0,133.0
2022,"Procida, Gabriele",SG-SF,77.75,192.8,22.4,0.038,80.00,106.0,8.00,9.3,29.5,35.0,11.02,3.14,3.07,NA,102.9%,74.0,135.5,141.0
2022,"Robinson, Orlando",C,81.75,244.4,25.7,0.095,88.00,111.0,8.75,10.0,23.0,27.5,11.40,3.23,3.55,NA,107.6%,87.5,134.0,138.5
2022,"Roddy, David",PF,76.50,260.8,31.3,0.116,83.50,105.0,8.75,10.0,27.0,35.5,10.75,3.10,3.22,NA,109.2%,87.5,132.0,140.5
2022,"Rollins, Ryan",SG,74.00,179.2,23.0,0.050,81.75,100.5,8.00,8.5,30.5,36.5,11.26,3.28,3.07,NA,110.5%,68.0,131.0,137.0
2022,"Seabron, Dereon",SG,76.75,182.4,21.8,0.040,80.75,103.5,8.50,9.5,30.5,38.0,11.03,3.04,3.12,NA,105.2%,80.8,134.0,141.5
2022,"Sharpe, Shaedon",SG,76.25,198.0,23.9,0.048,83.50,103.5,9.00,9.3,NA,NA,NA,NA,NA,NA,109.5%,83.3,NA,NA
2022,"Spagnolo, Matteo",PG,76.00,196.2,23.9,0.086,80.00,102.0,8.25,10.0,25.5,31.5,11.42,3.16,3.40,NA,105.3%,82.5,127.5,133.5
2022,"Terry, Dalen",SG,78.00,195.2,22.6,0.054,84.75,106.0,8.50,9.0,NA,NA,NA,NA,NA,NA,108.7%,76.5,NA,NA
2022,"Walker, Jabari",PF,78.75,213.8,24.2,0.121,82.75,105.0,8.75,9.8,29.5,32.5,11.53,3.12,3.24,NA,105.1%,85.3,134.5,137.5
2022,"Washington Jr., TyTy",SG,74.25,196.4,25.0,0.120,80.00,99.5,8.50,9.3,NA,NA,NA,NA,NA,NA,107.7%,78.6,NA,NA
